"","Population","Lower2s0025limit","Upper2s0025limit","Lower3s0001limit","Upper3s0001limit","Baseline","Row.number"
"90",0,-3.03029520694054e-05,-2.98386862169764e-05,-3.04368168571045e-05,-2.97048214008555e-05,-3.00708191360854e-05,0
"91",0,-3.02911605132294e-05,-2.98504777447306e-05,-3.04182253074714e-05,-2.97234129504886e-05,-3.00708191360854e-05,0
"92",0,-3.0279965088198e-05,-2.98616731555512e-05,-3.04005755680237e-05,-2.97410627183581e-05,-3.00708191360854e-05,0
"93",0,-3.02693418632316e-05,-2.98722963947284e-05,-3.038382189402e-05,-2.97578163781509e-05,-3.00708191360854e-05,0
"94",0,-3.02592560643689e-05,-2.98823821793803e-05,-3.03679242534827e-05,-2.97737140044774e-05,-3.00708191360854e-05,0
"95",0,-3.02496847837119e-05,-2.9891953488459e-05,-3.03528332921132e-05,-2.97888049658468e-05,-3.00708191360854e-05,0
"96",0,-3.02406003385158e-05,-2.99010379194442e-05,-3.03385055246963e-05,-2.98031327616854e-05,-3.00708191360854e-05,0
"97",0,-3.02319729570399e-05,-2.99096653293418e-05,-3.0324907285717e-05,-2.9816730972243e-05,-3.00708191360854e-05,0
"98",0,-3.02237870357658e-05,-2.99178512364051e-05,-3.03120002058677e-05,-2.98296380805141e-05,-3.00708191360854e-05,0
"99",0,-3.02160123766271e-05,-2.99256259239655e-05,-3.02997477774625e-05,-2.98418904804976e-05,-3.00708191360854e-05,0
"100",0,-3.02086437926619e-05,-2.99329944652982e-05,-3.02881197740135e-05,-2.98535185123683e-05,-3.00708191360854e-05,0
